L,W,D
1,0.23,4.5
1,0.23,9
1,0.23,13.5
1,0.46,4.5
1,0.46,9
1,0.46,13.5
1,0.69,4.5
1,0.69,9
1,0.92,4.5
1,0.92,9
1,0.92,13.5
1,1.15,4.5
1,1.15,9
1,1.15,13.5
1,1.38,9
1,1.38,13.5
2,0.23,4.5
2,0.23,9
2,0.23,13.5
2,0.46,4.5
2,0.46,13.5
2,0.69,4.5
2,0.69,9
2,0.69,13.5
2,0.92,4.5
2,0.92,9
2,1.15,4.5
2,1.15,9
2,1.15,13.5
2,1.38,4.5
2,1.38,9
2,1.38,13.5
3,0.23,4.5
3,0.23,13.5
3,0.46,4.5
3,0.46,9
3,0.46,13.5
3,0.69,4.5
3,0.69,9
3,0.69,13.5
3,0.92,4.5
3,0.92,9
3,0.92,13.5
3,1.15,9
3,1.15,13.5
3,1.38,4.5
3,1.38,9
3,1.38,13.5
4,0.23,4.5
4,0.23,9
4,0.23,13.5
4,0.46,4.5
4,0.46,9
4,0.46,13.5
4,0.69,4.5
4,0.69,13.5
4,0.92,4.5
4,0.92,9
4,0.92,13.5
4,1.15,4.5
4,1.15,9
4,1.15,13.5
4,1.38,4.5
4,1.38,9
5,0.23,4.5
5,0.23,9
5,0.23,13.5
5,0.46,9
5,0.46,13.5
5,0.69,4.5
5,0.69,9
5,0.69,13.5
5,0.92,4.5
5,0.92,9
5,0.92,13.5
5,1.15,4.5
5,1.15,9
5,1.38,4.5
5,1.38,9
5,1.38,13.5
6,0.23,4.5
6,0.23,13.5
6,0.46,4.5
6,0.46,9
6,0.46,13.5
6,0.69,4.5
6,0.69,9
6,0.69,13.5
6,0.92,9
6,0.92,13.5
6,1.15,4.5
6,1.15,9
6,1.15,13.5
6,1.38,4.5
6,1.38,9
6,1.38,13.5
7,0.46,9
7,0.69,13.5
7,0.92,4.5
7,1.15,9
7,1.38,13.5
8,0.46,4.5
1,0.69,13.5
1,1.38,4.5
2,0.46,9
2,0.92,13.5
3,0.23,9
3,1.15,4.5
4,0.69,9
4,1.38,13.5
5,0.46,4.5
5,1.15,13.5
6,0.92,4.5
6,0.23,9
7,0.23,4.5
